station,technology,buyout_gbp
Garreg Lwyd Hill,Onshore Wind,43940585
Dunbeg Windfarm,Onshore Wind,43145083
Bicker,Onshore Wind,42788708
West Durham Windfarm ltd,Onshore Wind,42373980
Wardlaw Wood - A,Onshore Wind,42213128
"Artfield Fell Windfarm - A,C",Onshore Wind,42147644
Sanquhar Windfarm,Onshore Wind,41458109
"Cruach Mhor Windfarm - A, E",Onshore Wind,40759022
Scotia Wind (Craigengelt) Limited,Onshore Wind,40745166
Alltwalis Wind Farm,Onshore Wind,40717390
Novar II Wind Farm,Onshore Wind,39818112
Glenkerie Wind Farm,Onshore Wind,39352148
Slieve Divena Windfarm,Onshore Wind,39276957
Frodsham Wind Farm,Onshore Wind,38672753
Andershaw Wind farm,Onshore Wind,38652872
Goole Fields Wind Farm,Onshore Wind,38592281
"Wether Hill Windfarm - A, E",Onshore Wind,38568665
Tievenameenta Wind Farm,Onshore Wind,38352208
Dungavel,Onshore Wind,38166781
Gruig Wind Farm,Onshore Wind,37967512
Stroupster1,Onshore Wind,37041591
West Browncastle Wind Farm,Onshore Wind,36533152
Wandylaw Wind Farm,Onshore Wind,36241951
Goole Fields II Wind Farm,Onshore Wind,36046647
Carrickatane Windfarm,Onshore Wind,36003514
Ewe Hill II,Onshore Wind,35966064
Lynemouth,Onshore Wind,35738558
Drone Hill Wind Farm LTD,Onshore Wind,35319582
Auchrobert Wind Farm,Onshore Wind,35291918
Crighshane Energy Limited,Onshore Wind,35194413
LLANBABO,Onshore Wind,35142637
Whiteside Hill Wind Farm,Onshore Wind,35056965
Black Hill Wind Farm - A,Onshore Wind,34889042
Gunfleet Sands Demo,Offshore Wind,34870606
Roos Wind Farm,Onshore Wind,34769889
Pollnalaght Wind Farm,Onshore Wind,34485026
Corriemoillie Windfarm,Onshore Wind,34161072
TIR MOSTYN AND FOEL GOCH,Onshore Wind,33852460
Penmanshiel-GP,Onshore Wind,33753959
Tirgwynt,Onshore Wind,33707653
Tormywheel Wind Farm Limited,Onshore Wind,33701332
CNOC DONN ARNICLE WIND FARM,Onshore Wind,33526368
Hare Hill Wind Farm - A,Onshore Wind,33479836
Tappaghan Windfarm Ltd,Onshore Wind,33380919
Chelveston Renewable Energy,Onshore Wind,33213451
Kingsburn Wind Farm,Onshore Wind,32640793
Fraisthorpe Wind Farm Ltd,Onshore Wind,32600879
Maerdy Wind Farm,Onshore Wind,31939823
Little Raith Wind Farm Limited,Onshore Wind,31647974
Carno II,Onshore Wind,31473549
Glenchamber - GP,Onshore Wind,31092924
An Suidhe Wind Farm,Onshore Wind,30975954
Twin Rivers Wind Farm,Onshore Wind,30807914
Assel Valley Wind Farm – GP,Onshore Wind,30671370
Burn of Whilk Wind Farm,Onshore Wind,30535403
Tangy Wind Farm - A,Onshore Wind,30464531
Burnhead Wind Farm,Onshore Wind,30438824
BEINN AN TUIRC WIND FARM,Onshore Wind,30353738
Kildrummy1,Onshore Wind,30268475
"Stags Holt Wind Farm - A, E (5/07/07)",Onshore Wind,30074492
Airies Wind Farm,Onshore Wind,30026197
Caton Moor Wind Farm - A,Onshore Wind,30023008
Middlewick Generating Station,Onshore Wind,29999559
Fen Farm Wind Park Ltd - A (18/12/2007),Onshore Wind,29640560
Rusholme Wind Farm,Onshore Wind,29474756
Carland Cross Repowering Windfarm,Onshore Wind,29384303
Sixpenny Wood Wind Farm,Onshore Wind,29269821
Llynfi Afan Renewable Energy Park Limited,Onshore Wind,29213227
Cour WF - GP,Onshore Wind,29104804
Quixwood Wind Farm,Onshore Wind,28733358
Hunters Hill Windfarm,Onshore Wind,28535596
Rosehall Wind Farm,Onshore Wind,28481383
Bradwell,Onshore Wind,28446414
Hare Hill Extension,Onshore Wind,28050995
Butterwick Moor Wind Farm,Onshore Wind,27995390
Bagmoor Wind Farm,Onshore Wind,27971209
Freasdail Wind Farm,Onshore Wind,27933013
Swinford Wind Farm,Onshore Wind,27873050
Cotton Farm1,Onshore Wind,27852108
Screggagh Windfarm,Onshore Wind,27684573
Nutberry Wind Farm,Onshore Wind,27469667
Tullo Wind Farm Limited,Onshore Wind,26906824
Curryfree Wind Farm,Onshore Wind,26847445
Hall Wind Farm,Onshore Wind,26555780
Crockagarran Wind Farm,Onshore Wind,26531852
SRO Dun Law - A,Onshore Wind,26367065
Glass Moor Wind Farm - A,Onshore Wind,26336142
Wryde Croft Wind Farm,Onshore Wind,25389255
Garves Wind Farm,Onshore Wind,25279092
Withernwick Wind Farm,Onshore Wind,25259830
Allt Dearg Wind Farmers LLP,Onshore Wind,25149440
Burton Wold Windfarm - A,Onshore Wind,25125260
NEW WERFA (Cefn Croes),Onshore Wind,25101950
Pates Hill Wind Farm,Onshore Wind,25015764
Pentland Road,Onshore Wind,24563123
Moelogan 2 Wind Farm,Onshore Wind,24551806
Spurness Wind Farm II,Onshore Wind,24429199
The Grange Wind Farm,Onshore Wind,24413919
Minnygap Wind Farm,Onshore Wind,24389929
Muirhall Wind Farm Limited,Onshore Wind,24143060
ROUGHSIDE HILL,Onshore Wind,24110686
Tullo Extension,Onshore Wind,23725279
"Boulfruich Wind Farm - A,C",Onshore Wind,23661026
Milton Keynes Wind Farm,Onshore Wind,23625732
Pant y Wal Extension Wind Farm,Onshore Wind,23582545
Callagheen Wind Farm,Onshore Wind,23359816
Goonhilly Downs Wind Farm,Onshore Wind,23234761
Beckburn Wind Farm,Onshore Wind,23049582
Dunmore Wind Farm Ltd,Onshore Wind,23024062
CARNO B,Onshore Wind,22972571
CARNO A,Onshore Wind,22777605
Ovenden Moor WF,Onshore Wind,22739931
Wathegar 2 Wind Farm,Onshore Wind,21953048
MYNYDD CLOGAU,Onshore Wind,21845156
Turncole Wind Farm,Onshore Wind,21615925
Penny Hill Wind Farm,Onshore Wind,21543097
CEMMAES C WINDFARM,Onshore Wind,21538349
Church Hill Energy Limited,Onshore Wind,21423326
Maesgwyn Wind Farm,Onshore Wind,21397282
North Steads Wind Farm - GP,Onshore Wind,21353500
Wingates Wind Farm,Onshore Wind,21281711
Biggleswade Wind Generating Station,Onshore Wind,21193553
Burton Wold,Onshore Wind,21009845
Mynydd Bwllfa Wind Farm,Onshore Wind,20599617
Llidiartywaun Wind Farm - A,Onshore Wind,20589599
Yelvertoft Wind Farm,Onshore Wind,20587881
Gayton Le Marsh Wind Farm,Onshore Wind,20551505
Black Hill Wind Farm - A,Onshore Wind,20445315
Knabs Ridge Wind Farm (12/12/2007),Onshore Wind,20317927
"Coldham Wind Farm - A, E",Onshore Wind,20268777
Langhope Rig Wind Farm,Onshore Wind,20173298
Altaveedan Wind Farm,Onshore Wind,20095311
Long Mountain,Onshore Wind,19926316
Bishopthorpe,Onshore Wind,19917029
Todmorden Moor Wind Farm full,Onshore Wind,19810987
Glen App,Onshore Wind,19804749
MYNYDD GORDDU,Onshore Wind,19734491
Coal Clough Repowering,Onshore Wind,19730642
Hill of Glaschyle,Onshore Wind,19428776
Castlecraig Wind Farm,Onshore Wind,19219096
Boyndie - A,Onshore Wind,19097132
Crockandun Windfarm,Onshore Wind,19081153
Slieve Divena 2 Wind Farm,Onshore Wind,18920342
Middleton Windfarm,Onshore Wind,18771058
North Pickenham Windfarm - A,Onshore Wind,18555201
Tappaghan Windfarm Ltd,Onshore Wind,18521624
Deeping St Nicholas Wind Farm - A,Onshore Wind,18339847
Bamber's Farm Wind Park Ltd - A,Onshore Wind,18283710
Whitemill Wind Farm,Onshore Wind,18257532
Llangwyryfon Windfarm,Onshore Wind,18235013
Altahullion 2 Wind Farm - A,Onshore Wind,18226175
Armistead Wind Farm,Onshore Wind,18120446
"Earlseat Wind Farm, Kirkcaldy",Onshore Wind,18085866
DEUCHERAN HILL,Onshore Wind,17960472
Jack's Lane Wind Farm,Onshore Wind,17940281
Crystal Rig III Windfarm,Onshore Wind,17789200
Bryn Titli Wind Farm,Onshore Wind,17782697
Carn Hill Windfarm,Onshore Wind,17772088
POLWHAT RIG WINDFARM,Onshore Wind,17726639
Tallentire,Onshore Wind,17675500
Blantyre Muir Wind Energy Ltd,Onshore Wind,17595249
HAGSHAW HILL B,Onshore Wind,17588365
Port of Liverpool Wind Farm,Onshore Wind,17425507
Rhodders,Onshore Wind,17337249
Seamer Wind Farm,Onshore Wind,17180352
Bankend Rig Windfarm,Onshore Wind,17153018
Wathegar Wind Farm,Onshore Wind,17114709
Edintore Wind Farm,Onshore Wind,17078913
Hellrigg Wind Farm,Onshore Wind,17043831
Thornog Windfarm,Onshore Wind,16943344
WHARRELS HILL WINDFARM,Onshore Wind,16771873
Earls Hall Farm1,Onshore Wind,16702591
Ransonmoor Wind Farm - A (1/03/07),Onshore Wind,16663099
Haswell Moor WF,Onshore Wind,16660279
Wheelhouse Energy (NI) Limited,Onshore Wind,16652606
Wolf Bog Wind Farm - A (10/09/2007),Onshore Wind,16603111
Red Tile Wind Farm 2 - A,Onshore Wind,16526707
Bin Mountain Wind Farm (NI) Ltd - A (5/2/07),Onshore Wind,16504767
Craig Wind Farm,Onshore Wind,16452410
Molly Mountain,Onshore Wind,16382175
Corrimony Wind Farm,Onshore Wind,16284704
CREPL,Onshore Wind,16229873
Barmoor,Onshore Wind,16227648
Kiln Pit Hill Wind Farm,Onshore Wind,16177250
Sancton Hill Wind Farm,Onshore Wind,16175270
OUT NEWTON,Onshore Wind,16151294
Dummuies Windfarm - A,Onshore Wind,16039430
Red Tile Wind Farm 1 - A,Onshore Wind,15994591
Broughshane Wind Farm,Onshore Wind,15992382
BEARS DOWN RESERVOIR,Onshore Wind,15943319
Lochlebank Windfarm,Onshore Wind,15876247
Pearie Law Wind Farm,Onshore Wind,15841484
Reaps Moss,Onshore Wind,15809626
BENDEALT WINDFARM,Onshore Wind,15780886
Ewe Hill 1,Onshore Wind,15770350
Winwick Wind Farm_Full,Onshore Wind,15748224
Delabole Wind Farm Repower,Onshore Wind,15728435
Bessy Bell Windfarm (NI) Limited,Onshore Wind,15698190
Clachan Flats,Onshore Wind,15308363
Eglish,Onshore Wind,15307662
Batsworthy Cross Wind Farm,Onshore Wind,15254197
MEALL AN TUIRC WIND FARM,Onshore Wind,15220510
Glass Moor II,Onshore Wind,15154848
Lindhurst Wind Farm,Onshore Wind,14982932
Denzell Downs Windfarm,Onshore Wind,14868740
OraMore Wind Farm,Onshore Wind,14848488
Gordonstown Wind Farm,Onshore Wind,14691248
Low Spinney,Onshore Wind,14668871
Meikle Carewe,Onshore Wind,14654263
Neilston Community Wind Farm,Onshore Wind,14645697
Den Brook Wind Farm,Onshore Wind,14486895
Broom Hill,Onshore Wind,14431822
Penrhyddlan Wind Farm - A,Onshore Wind,14305233
Emly Bank RO,Onshore Wind,14304985
Burton Pidsea Wind Farm,Onshore Wind,14298836
Gortfinbar Wind Farm,Onshore Wind,14288036
Grange Wind Farm 2,Onshore Wind,14245587
Woolley Hill Wind Farm,Onshore Wind,14086175
AOE Windfarm,Onshore Wind,14003538
GALLOW RIG,Onshore Wind,13985825
