station,technology,buyout_gbp
West Knock Wind Cluster,Onshore Wind,4145075
Greenhill Wind Turbine,Onshore Wind,4130280
High Pow - A,Onshore Wind,4050147
Melton Wind Farm,Onshore Wind,4015891
High Sharpley - A,Onshore Wind,3904694
Ardgrain Wind Cluster,Onshore Wind,3866851
Coal Clough Windfarm - A,Onshore Wind,3864324
Haverigg 3 Windcluster,Onshore Wind,3802462
HARE HILL,Onshore Wind,3797442
Shooters Bottom Wind Park Ltd,Onshore Wind,3775204
HAFOTY UCHA 2,Onshore Wind,3769274
Gairnieston Wind Cluster,Onshore Wind,3745074
GWDL,Onshore Wind,3725368
HIGH VOLTS WIND FARM,Onshore Wind,3683275
TOW LAW WIND FARM,Onshore Wind,3680381
HEDLEY HOPE,Onshore Wind,3676514
Haverigg 4 Windcluster,Onshore Wind,3675362
Roskrow Barton (17/12/2007),Onshore Wind,3632672
Cold Northcott Windfarm,Onshore Wind,3588223
The Hollies Wind Farm - (21/01/2008),Onshore Wind,3576860
GREAT ORTON AIRFIELD,Onshore Wind,3532546
Alveston Wind Park Limited,Onshore Wind,3522641
Whittlesey,Onshore Wind,3499038
Maesgwyn Extension.,Onshore Wind,3447037
Lisglass Wind Ltd,Onshore Wind,3413732
HOLMSIDE HALL,Onshore Wind,3413426
Keith Hill,Onshore Wind,3406710
Redbog,Onshore Wind,3380869
"Hare Hill Wind Farm (eon) - A, C",Onshore Wind,3351821
HAFOTTY UCHA,Onshore Wind,3344372
"Holmside Wind Farm - A,C",Onshore Wind,3332734
Hill of Balquhindachy Wind Turbine - A,Onshore Wind,3330350
Clondermot Wind Limited,Onshore Wind,3297381
Darracott Moor Wind Farm,Onshore Wind,3161071
KIRKSTANTON AIRFIELD,Onshore Wind,3101669
DRIGG (Ness Point),Onshore Wind,3088729
French Farm Wind Farm,Onshore Wind,3023553
EAST TOWN END FARM,Onshore Wind,3018522
"Spurness Windfarm - A,C",Onshore Wind,2965241
Bogenlea Wind Turbine,Onshore Wind,2936744
FORESTMOOR WIND PROJECT,Onshore Wind,2926566
Denhill Wind Turbine,Onshore Wind,2881079
"Loftsome Bridge Water treatment Works - A, D (24/09/2007)",Onshore Wind,2799644
Glenwherry Wind Ltd,Onshore Wind,2719017
Clinty,Onshore Wind,2710520
MAWLA GREENLANE FARM MOEL MAELOGAN,Onshore Wind,2693980
Courtstone Wind Turbine,Onshore Wind,2630244
Sober Hill B,Onshore Wind,2593981
Myres Hill Wind Turbine Test Site - A,Onshore Wind,2592809
Ballynahaye Road,Onshore Wind,2574710
Worksop Wind Park Ltd,Onshore Wind,2549128
SP0389,Onshore Wind,2541178
Croda Europe Wind Turbine,Onshore Wind,2477339
MD Renewables Limited,Onshore Wind,2464303
BLOOD HILL WIND TURBINE,Onshore Wind,2461576
SP2045,Onshore Wind,2433094
LOWICK BEACON,Onshore Wind,2430061
High Pow - A,Onshore Wind,2420984
farrell,Onshore Wind,2415256
JockeysQuarter-GP,Onshore Wind,2399600
Luggie's Knowe,Onshore Wind,2398281
Liniclate B,Onshore Wind,2388259
St Breock Windfarm - A,Onshore Wind,2384857
MYROE 1060,Onshore Wind,2372895
SP0239 - GP,Onshore Wind,2317989
SP0069,Onshore Wind,2310451
Wind Turbine 1,Onshore Wind,2302536
"Longhill Wind Turbine - A,C",Onshore Wind,2299149
Criags Road,Onshore Wind,2296342
First Wind 1038,Onshore Wind,2276552
Dysart Energy,Onshore Wind,2237244
SP0433,Onshore Wind,2229443
MYROE 1031,Onshore Wind,2219634
SP0847-GP,Onshore Wind,2148212
SP0645,Onshore Wind,2091680
Ventus,Onshore Wind,2079468
Crocknagrogan Ltd,Onshore Wind,2071903
Stonetec,Onshore Wind,2065808
Flack Micon,Onshore Wind,2059277
MYROE 1063,Onshore Wind,2050913
Carness Rock,Onshore Wind,2049119
1045,Onshore Wind,2047020
Nash WwTW Wind Turbine,Onshore Wind,2045028
Gortumly Hill Ltd,Onshore Wind,2039624
Windmill Road,Onshore Wind,2037623
SP0416,Onshore Wind,2031724
1007,Onshore Wind,2028524
Millview Wind Turbine,Onshore Wind,2000388
1057,Onshore Wind,1988531
Green Park Wind Farm Limited - A,Onshore Wind,1978102
BURGAR HILL,Onshore Wind,1968663
Dullerton Road,Onshore Wind,1961157
Donard View,Onshore Wind,1960165
Carland Cross Windfarm,Onshore Wind,1956985
Crockanboy Wind,Onshore Wind,1946577
KIRKHEATON WIND FARM,Onshore Wind,1931298
ECOTECH WIND TURBINE GENERATOR,Onshore Wind,1930053
SP0595 - GP,Onshore Wind,1919087
AA McGuckian,Onshore Wind,1909352
BH Energy - Wind Turbines,Onshore Wind,1903028
Scalp250,Onshore Wind,1901301
Wind NI 1017,Onshore Wind,1894724
O'Neillwindenergyltd,Onshore Wind,1889406
Borough Wind,Onshore Wind,1817182
Rodbaston WTG1 - GP,Onshore Wind,1811289
Oldmill,Onshore Wind,1808641
1067,Onshore Wind,1807142
Peter Cunningham,Onshore Wind,1805781
MABLETHORPE STW,Onshore Wind,1801150
Bendooragh Road,Onshore Wind,1800536
WNIP - 1049,Onshore Wind,1796767
Castlecaulfield,Onshore Wind,1795248
G.C.,Onshore Wind,1793305
Hill of Balquhindachy Wind Turbine - A,Onshore Wind,1790368
SP3554,Onshore Wind,1790089
Woodlands Farm Wind Turbines,Onshore Wind,1785154
Lochcarnan Community Wind Farm,Onshore Wind,1777622
Omagh 1,Onshore Wind,1776282
Lisahoppin Wind Turbine,Onshore Wind,1767861
T.C.P Wind,Onshore Wind,1762578
Rodbaston WTG2,Onshore Wind,1759057
WEG 1044,Onshore Wind,1758290
Murrays Wind,Onshore Wind,1744846
Pomeroy Full,Onshore Wind,1722698
Irvine-Wind Turbine,Onshore Wind,1717177
Moore Bros - Diamond Field,Onshore Wind,1715055
1175,Onshore Wind,1710927
SP2937,Onshore Wind,1706974
MPG - Portglenone,Onshore Wind,1706947
Corrinare Road,Onshore Wind,1683414
Callagheen Wind,Onshore Wind,1679613
Doon,Onshore Wind,1679602
WNIP 1068,Onshore Wind,1674974
Outlack Energy,Onshore Wind,1673976
James Moore,Onshore Wind,1671984
The Rock 250.,Onshore Wind,1671299
Bunlougher,Onshore Wind,1667938
"Northfield Wind Energy Project Burray- A,C",Onshore Wind,1666235
Katie 6,Onshore Wind,1662255
Killyruddan Road - GP,Onshore Wind,1662149
Stonypath,Onshore Wind,1660741
1073,Onshore Wind,1649190
GREAT ORTON,Onshore Wind,1644414
Lisnoo Power Ltd,Onshore Wind,1643087
Aughnagurgan - GP,Onshore Wind,1640719
SW 1092,Onshore Wind,1635662
Rockstown 250,Onshore Wind,1619987
Carnlea A,Onshore Wind,1619203
Moneysallin Park,Onshore Wind,1616056
1059,Onshore Wind,1615914
SP2701,Onshore Wind,1606732
Crossness STW wind turbine,Onshore Wind,1605129
Cloughmills 1 - GP,Onshore Wind,1600370
CFFTurbine1,Onshore Wind,1586054
Cullen,Onshore Wind,1571502
GGE1,Onshore Wind,1557639
Cloughmills Two,Onshore Wind,1548409
Ballure,Onshore Wind,1537747
Onekel Energy,Onshore Wind,1536136
Drin Road,Onshore Wind,1535090
Braidenhill,Onshore Wind,1529053
WLD,Onshore Wind,1521418
Breagho37,Onshore Wind,1517176
Ballinderry Wind,Onshore Wind,1508572
1082,Onshore Wind,1504042
Glen 250.,Onshore Wind,1498594
Wind NI 1040,Onshore Wind,1478060
GGE 3,Onshore Wind,1477662
"Green Hill Road, Belfast",Onshore Wind,1473056
Altagarron Wind Turbine,Onshore Wind,1466308
Silo Field,Onshore Wind,1457642
Tullykevin,Onshore Wind,1454303
AGH ENERGY,Onshore Wind,1451862
Mullyneil Road - GP,Onshore Wind,1450436
Laurel Lane - Annet,Onshore Wind,1447022
TRANNACK DOWNS,Onshore Wind,1432965
Lesley - wind turbine,Onshore Wind,1432193
castletown renewable energy ltd,Onshore Wind,1430791
Wind NI 1027,Onshore Wind,1430024
National Offshore Wind Turbine Test Facility (NOWTTF),Onshore Wind,1428443
Craighill,Onshore Wind,1416578
1051,Onshore Wind,1415504
T1 Erne Wind - GP,Onshore Wind,1415432
1081,Onshore Wind,1414521
Nigel Jordan,Onshore Wind,1402687
RSRTurbine2,Onshore Wind,1397512
Screeby,Onshore Wind,1392258
WEG 1028,Onshore Wind,1380350
Macken-T1,Onshore Wind,1373547
Rogers WTG,Onshore Wind,1363911
River Field,Onshore Wind,1362341
Kerrs Hill,Onshore Wind,1355643
HARLOCK HILL,Onshore Wind,1354720
Wind NI 1024,Onshore Wind,1352956
Slievenahanaghan,Onshore Wind,1352467
Alan Campbell,Onshore Wind,1351887
Drumkeen250.,Onshore Wind,1348728
Barleyhill-GP,Onshore Wind,1347059
Ardglass Road,Onshore Wind,1345783
1094,Onshore Wind,1337907
SP0516,Onshore Wind,1335717
Creaghan Hill,Onshore Wind,1334171
P.M-GP,Onshore Wind,1333594
Errigal,Onshore Wind,1333374
1090,Onshore Wind,1333289
Terrydoo 1,Onshore Wind,1331838
MPG Portrush,Onshore Wind,1328891
Wind NI 1016,Onshore Wind,1326970
1093,Onshore Wind,1325336
NBE-005,Onshore Wind,1324603
Kerr - Rathfriland Road,Onshore Wind,1316282
SP0517,Onshore Wind,1315968
scottenergy 01,Onshore Wind,1309371
1075,Onshore Wind,1308168
Killoon 1 -GP,Onshore Wind,1307748
Cooltrain Turbine 1,Onshore Wind,1307621
Coa Energy,Onshore Wind,1302916
Leam Generation,Onshore Wind,1301264
1062,Onshore Wind,1301019
Begley Hilltop,Onshore Wind,1290496
Sheepwalk Road - Deepbridge,Onshore Wind,1289116
LW 001,Onshore Wind,1283740
YAAK,Onshore Wind,1280971
Rathriland Road - McIlroy,Onshore Wind,1278227
Gigha Windmills,Onshore Wind,1274123
Slieve Croob Dromara,Onshore Wind,1273725
Future (Newry),Onshore Wind,1269619
Gorticross - GP,Onshore Wind,1265173
Horse Park Wind,Onshore Wind,1264941
Corlea Enterprises,Onshore Wind,1264485
Kingsfort Energy,Onshore Wind,1263664
Terrydoo 2,Onshore Wind,1263333
1064,Onshore Wind,1262871
GlenlearyRoad250,Onshore Wind,1259311
Kilsannagh Road,Onshore Wind,1259267
Garrisonhillwindltd,Onshore Wind,1254971
Islands Of Carnmoon,Onshore Wind,1251583
Baleney Renewables 225,Onshore Wind,1249953
hill renewables,Onshore Wind,1249025
Shanmagherywindltd,Onshore Wind,1246910
North Carneatly,Onshore Wind,1245059
WEG 1054,Onshore Wind,1241964
Magheraboy Wind,Onshore Wind,1238459
WEG 1069 -GP,Onshore Wind,1233680
1078,Onshore Wind,1231311
Cavey-Road - GP,Onshore Wind,1229754
Causeway T2,Onshore Wind,1228935
Tonnaghmore,Onshore Wind,1213779
SP0592,Onshore Wind,1211032
Randalstown IA,Onshore Wind,1207601
Wind NI 1004,Onshore Wind,1206561
Clough Mills,Onshore Wind,1202869
Dullaghy 45,Onshore Wind,1200932
Poyntzpasswindltd,Onshore Wind,1198459
McKernan - Aghaboy GP,Onshore Wind,1198232
Quarry Hill Wind,Onshore Wind,1196859
K2 Power Randalstown,Onshore Wind,1194741
Redrock Full Application,Onshore Wind,1193931
Madden Rd Wind Turbine,Onshore Wind,1193492
Iona Wind,Onshore Wind,1193160
Sperrin Environmental 250kw - GP,Onshore Wind,1191515
Breenair,Onshore Wind,1188054
Ashfield Renewables,Onshore Wind,1182042
University of Ulster Coleraine Campus Wind Turbine Generator,Onshore Wind,1179518
Grey-Vestas,Onshore Wind,1175939
Clady Haliday Wind,Onshore Wind,1174526
Wind NI 1041,Onshore Wind,1163376
Slievedrinne Energy,Onshore Wind,1162490
"Hull Waste Water Treatment Works - WTG, (1/11/2007) A, D",Onshore Wind,1162472
BURGAR HILL,Onshore Wind,1161356
Ballykeery,Onshore Wind,1150028
FEL3 - Kanes,Onshore Wind,1149912
Aghafad Rd Wind Turbine,Onshore Wind,1143297
Wind NI 1003,Onshore Wind,1141121
16 Drumack Lane,Onshore Wind,1141038
NWW Killy Beg West-GP,Onshore Wind,1138730
Glacpower-GP,Onshore Wind,1134046
Boundary Lane,Onshore Wind,1133679
Foyle View,Onshore Wind,1131576
Dunamallaght Farm Wind Turbine,Onshore Wind,1131517
The Quarry,Onshore Wind,1129487
larry rogers,Onshore Wind,1127241
Wardair,Onshore Wind,1126631
KJ Power,Onshore Wind,1126595
Thornhill37,Onshore Wind,1123565
1058,Onshore Wind,1122526
Ballyrush Wind,Onshore Wind,1120844
Porter-Garvaghy Rd-GP,Onshore Wind,1120806
Ballyboley Rd Wind Turbine,Onshore Wind,1120237
Lendrums Bridge - ECO Unit,Onshore Wind,1118359
Gransha 2 Farm,Onshore Wind,1115507
Hall - Sheepwalk Road,Onshore Wind,1115447
Causeway T1,Onshore Wind,1112330
WNIP - 1052,Onshore Wind,1111710
Greenville Energy Wind,Onshore Wind,1104068
Breezy Hill B,Onshore Wind,1102513
Nelson,Onshore Wind,1098212
PITHWIND,Onshore Wind,1098109
Doon Wind,Onshore Wind,1097603
Rathconvil Wind.,Onshore Wind,1096993
castlewarren renewables,Onshore Wind,1096691
AW Richill,Onshore Wind,1093628
Church Road Full,Onshore Wind,1092590
Nine Mile Hill,Onshore Wind,1091240
Cloyfin Energy-GP,Onshore Wind,1088112
BaxterWaste Wind 01,Onshore Wind,1084122
Mallard-GP,Onshore Wind,1078205
Loughran - Dunamore Road,Onshore Wind,1076008
knockagh site,Onshore Wind,1074938
McNally- Iveagh Road,Onshore Wind,1074621
Balnamoon,Onshore Wind,1074367
Creagh Energy,Onshore Wind,1072771
GelvinWind,Onshore Wind,1062676
Future (Carryduff),Onshore Wind,1061219
209 Middle Road,Onshore Wind,1056487
SP0309,Onshore Wind,1056325
Ballylurgan,Onshore Wind,1054480
1070,Onshore Wind,1052977
Tullycaliddy Road - GP,Onshore Wind,1051359
1035,Onshore Wind,1050014
1089,Onshore Wind,1049064
1071,Onshore Wind,1048935
Corkley Energy,Onshore Wind,1046543
Carrickgallogly Road,Onshore Wind,1044873
Aughnagurgan wind farm,Onshore Wind,1043006
Drumhappy Road,Onshore Wind,1040581
Keenaghan Wind Turbine,Onshore Wind,1040185
1176,Onshore Wind,1039007
90 Woodside,Onshore Wind,1037036
Killygorewindltd,Onshore Wind,1036949
Caldrum Wind,Onshore Wind,1034005
SP0229,Onshore Wind,1033579
93 Ballynahinch Road,Onshore Wind,1032868
DANIS,Onshore Wind,1031222
SP0168,Onshore Wind,1029795
Balloo Wood Wind Turbine,Onshore Wind,1028212
Brighwindltd,Onshore Wind,1025342
Legilly Road,Onshore Wind,1022840
Grassroots Wind,Onshore Wind,1022705
Rowan 250,Onshore Wind,1021261
Haag Air,Onshore Wind,1020517
Edenaveys - Davidson,Onshore Wind,1017801
S.McG,Onshore Wind,1017048
Ballintate Road,Onshore Wind,1013672
The Ponderosa,Onshore Wind,1011213
Ballycolinwind,Onshore Wind,1009278
Randalstown IIB,Onshore Wind,1007103
Crawford wind 1,Onshore Wind,1007082
SP0884,Onshore Wind,1006430
SP3938,Onshore Wind,1002945
Farlands,Onshore Wind,1001723
1056,Onshore Wind,1001200
Gransha 1 Site,Onshore Wind,998588
Dunevely Road - GP,Onshore Wind,998113
Leod Quarry M700,Onshore Wind,995988
Paisley Road,Onshore Wind,993740
Drumaney108.,Onshore Wind,992429
SP0457 - GP,Onshore Wind,992069
NWW Killy Beg East Limited -GP,Onshore Wind,991738
BallykilbegwindltdTurbine,Onshore Wind,991292
Muckle Hill Wind Turbine,Onshore Wind,989229
Killymittan,Onshore Wind,984125
Crewehill Wind,Onshore Wind,983843
1042,Onshore Wind,980574
Curlyhill,Onshore Wind,980191
Glenavy,Onshore Wind,979684
SP0654,Onshore Wind,976374
HS Energy,Onshore Wind,975486
WO-002250-Anticur,Onshore Wind,973709
Beckton STW wind turbine,Onshore Wind,971643
SP0926,Onshore Wind,970723
79 Woodside,Onshore Wind,970473
Loup Wind,Onshore Wind,967539
Halley-Micon,Onshore Wind,966358
Reenpro Glenleary Road,Onshore Wind,961333
Wind NI 1019,Onshore Wind,961259
Groove Road,Onshore Wind,961054
Future (Pomeroy),Onshore Wind,957644
SP1110,Onshore Wind,956632
Lissan,Onshore Wind,953130
SP0015 - GP,Onshore Wind,952676
Screen Energy T2,Onshore Wind,952672
Ruhara – GP,Onshore Wind,951861
Cruckaclady Mountain,Onshore Wind,950151
Green Road-GP,Onshore Wind,948438
Tandragee,Onshore Wind,946976
Young Energy Ltd,Onshore Wind,946094
Edenmore Wind,Onshore Wind,945896
Airconserv Ltd,Onshore Wind,944969
LinfordEnergy,Onshore Wind,943799
Sperrin Wind 250kw,Onshore Wind,943415
Ballygallum,Onshore Wind,942260
Scragheywind,Onshore Wind,942214
Ballyblack Road - GP,Onshore Wind,938943
Blackhill Wind,Onshore Wind,938063
Tirnascobe Road,Onshore Wind,937073
SP0636,Onshore Wind,935202
Knockavannon,Onshore Wind,932641
Tornaroy Wind Ltd,Onshore Wind,928441
Glen Road,Onshore Wind,927718
Russell250,Onshore Wind,927415
Breagho,Onshore Wind,925644
Railroad,Onshore Wind,923725
GFE Balinaquilly – GP,Onshore Wind,923669
Mach Power,Onshore Wind,921319
Drumbanagher Wall Road,Onshore Wind,920132
MPG Poyntzpass,Onshore Wind,919453
Shaun Christie,Onshore Wind,918513
Knockroe_GP,Onshore Wind,918286
SP1150-GP,Onshore Wind,916923
Glenside,Onshore Wind,914536
Lisnatunny,Onshore Wind,913538
Cavanoneill Rd Wind Turbine,Onshore Wind,913078
Hogg 2.,Onshore Wind,907778
Cavanakill Road Wind Turbine,Onshore Wind,905449
1174,Onshore Wind,902176
Wind NI 1014,Onshore Wind,900172
1177,Onshore Wind,899283
LF Energy,Onshore Wind,898870
Oxgenwindltd,Onshore Wind,895597
Derrylea Wind,Onshore Wind,893646
Corkhill 225,Onshore Wind,892136
Tullyboy250,Onshore Wind,891000
Drumeagle1 - GP,Onshore Wind,890764
Cromie - Reservoir Road,Onshore Wind,890477
Kilrea Road -gp,Onshore Wind,889444
NWW Brockagh (1)-GP,Onshore Wind,888976
Mountain lane 1,Onshore Wind,887968
Wind NI 1002,Onshore Wind,887743
Crewmore - GP,Onshore Wind,886697
BallynoewindltdTurbine,Onshore Wind,883990
Farmview - Micon,Onshore Wind,881402
Wind NI 1009,Onshore Wind,881232
Reaney,Onshore Wind,880557
glenbuck north,Onshore Wind,880070
Solo Energy 1,Onshore Wind,877882
Glengenltdmm,Onshore Wind,877068
SP3269-GP,Onshore Wind,876990
1020,Onshore Wind,876717
Saintfieldwindltd,Onshore Wind,876375
Calzach 1001,Onshore Wind,875423
Ballyrogan Road,Onshore Wind,875236
Drumbeebeg West,Onshore Wind,873848
Earney001,Onshore Wind,873515
Ballydugan Road,Onshore Wind,870822
1039,Onshore Wind,866977
HILLSIDE COMBINED RENEWABLE SYSTEMS LTD,Onshore Wind,863260
Aughnagreggan,Onshore Wind,862073
Loughloughanwindltd,Onshore Wind,859161
Beechgrove Wind,Onshore Wind,852341
SP1114,Onshore Wind,846965
Knockavoe.,Onshore Wind,845617
Moya (Findhorn Wind Park),Onshore Wind,845192
Wind NI 1010,Onshore Wind,841452
Camlough,Onshore Wind,838710
"Northfield Wind Energy Project Burray- A,C",Onshore Wind,838002
EMERALD PRIME,Onshore Wind,837398
Landhead Power Ltd,Onshore Wind,836602
Montgomery - Downpatrick Road,Onshore Wind,834325
1088,Onshore Wind,832227
bbgni,Onshore Wind,831026
Mullanmore,Onshore Wind,828036
IrishhillwindltdTurbine,Onshore Wind,828019
RNI 1170,Onshore Wind,827391
Nós na Gaoithe Wind.,Onshore Wind,827294
McClure Generating 225.,Onshore Wind,827256
Bonnyview,Onshore Wind,826401
Crosshill  Energy Ltd,Onshore Wind,826216
Realtons Wind,Onshore Wind,824175
Mountviewwindltd-gp,Onshore Wind,824050
Rea - Boghill Road,Onshore Wind,819784
Flynn - energy,Onshore Wind,819723
1172,Onshore Wind,818665
Cluntagh Turbine,Onshore Wind,818538
Castleroe Energy,Onshore Wind,818038
Core Aggregates,Onshore Wind,813745
Cornamucklagh,Onshore Wind,813335
Breezy Hill M,Onshore Wind,813257
Novally,Onshore Wind,811584
Ashlamaduff,Onshore Wind,810834
Newrycrosswindltd,Onshore Wind,808495
DRUMACK LANE - GP,Onshore Wind,802210
Drumabest Farm,Onshore Wind,801857
Seacoast 250,Onshore Wind,801265
Mount Hamilton Rd,Onshore Wind,798687
SP1963-GP,Onshore Wind,792806
SP1866 - GP,Onshore Wind,792625
Magheragar 1,Onshore Wind,791434
Martin V27,Onshore Wind,789553
SP1215,Onshore Wind,786135
The Twins,Onshore Wind,785471
SP0555-GP,Onshore Wind,784790
Smyth - Garvaghy,Onshore Wind,784375
Forbes-Micon1,Onshore Wind,784357
Ash Ballyavelin Road,Onshore Wind,781744
Holsen 1043,Onshore Wind,781178
SP0635,Onshore Wind,778942
Rea - Auchnabrack Road,Onshore Wind,778575
Ballyreagh Wind,Onshore Wind,778255
Artigarvan Wind Turbine.,Onshore Wind,777075
Macwindgen Rathkeel,Onshore Wind,776937
Derryallen,Onshore Wind,776378
Killaculla Wind,Onshore Wind,773994
WO-001225-McNally,Onshore Wind,770741
Crossdernotwindltd,Onshore Wind,770325
BU FARM,Onshore Wind,767094
Blood Hill Wind Farm - A,Onshore Wind,766109
Derrymacanna KN199,Onshore Wind,761945
VSempleandsonsltd,Onshore Wind,761136
An Muileann Wind.,Onshore Wind,760912
1037,Onshore Wind,760178
Ballyrobert Rd Wind Turbine,Onshore Wind,758950
"East Kilbride Wind Turbine - C,D",Onshore Wind,757990
Hegarty Micon,Onshore Wind,756533
Foreglen Wind,Onshore Wind,754051
Timpany Wind,Onshore Wind,752672
SP0772,Onshore Wind,751467
SP0478,Onshore Wind,750730
Altamuskin 250,Onshore Wind,748990
Baronagh 250.,Onshore Wind,746521
Reenpro Tallbridge Rd,Onshore Wind,745008
Lake View Farm,Onshore Wind,742271
Cullyrammerwindltd,Onshore Wind,741745
Carnaff 1,Onshore Wind,740116
Blackbog 225,Onshore Wind,738983
Dunbreen Turbine,Onshore Wind,738607
SP1326,Onshore Wind,738415
Corbo Wind Ltd,Onshore Wind,737062
Oakdene Renewables,Onshore Wind,735399
Farmhillwindltd,Onshore Wind,735353
CavandarraghwindltdTurbine,Onshore Wind,735114
Drumlegagh Wind,Onshore Wind,734980
Greenbank Farm,Onshore Wind,733929
SP0-713,Onshore Wind,733711
Dungram Hill,Onshore Wind,733228
Killunaught Road,Onshore Wind,731085
Glenleslie 150,Onshore Wind,728513
1015,Onshore Wind,727622
1036,Onshore Wind,725442
Valley Rd WH02,Onshore Wind,724904
Tulnagallwindltdturbine,Onshore Wind,722058
Old Belfast Rd,Onshore Wind,721963
SP0317-GP,Onshore Wind,721548
Aghindaiagh,Onshore Wind,721206
McKee150,Onshore Wind,719771
Ballyknock,Onshore Wind,719625
Halls Wind.,Onshore Wind,718699
Townview,Onshore Wind,718550
Legavallon Road,Onshore Wind,717588
Carrowreagh150,Onshore Wind,717527
Methil Docks Wind Turbine,Onshore Wind,713732
ALG Biogas Wind,Onshore Wind,712852
SP0129-GP,Onshore Wind,712165
Ballyligwindltd,Onshore Wind,711504
"Drumard Road, Portadown – GP",Onshore Wind,711466
Sessiagh Road,Onshore Wind,710541
RJV Wind 150.,Onshore Wind,710361
MullanwindltdTurbine,Onshore Wind,707113
Furnish Renewables Wind,Onshore Wind,704710
Camlough 01,Onshore Wind,703122
1025,Onshore Wind,702991
SP0765,Onshore Wind,702632
Alternative Heat Wind Turbine,Onshore Wind,702478
Relagh Energy - GP,Onshore Wind,701239
Tummery Wind,Onshore Wind,698876
Whitehill Station,Onshore Wind,696458
Ballymack,Onshore Wind,695058
Curragh,Onshore Wind,694175
Drumbrickwindltd,Onshore Wind,693682
Castlerainywind,Onshore Wind,689573
1097,Onshore Wind,688059
Wind NI 1030,Onshore Wind,687096
Shilnavogie 150.,Onshore Wind,686691
Redhouse Wind,Onshore Wind,685396
SkerdanHill,Onshore Wind,684492
Airtana,Onshore Wind,683999
Garvagh Energy,Onshore Wind,683739
Ballybogey,Onshore Wind,682426
Allen Energy,Onshore Wind,682208
WindPowerNI,Onshore Wind,681211
Colinglen150,Onshore Wind,680947
Cladybeg 1,Onshore Wind,680862
CliffdonWind,Onshore Wind,680001
MacreteWind,Onshore Wind,679503
RJV Wind,Onshore Wind,677895
McCloskey  Farms T2,Onshore Wind,677570
Inishative 150,Onshore Wind,677261
"Delabole - A,C,D",Onshore Wind,676488
Mountgrove Energy,Onshore Wind,675631
Whitehouse Farm,Onshore Wind,674994
Carncullagh Road - GP,Onshore Wind,671970
JP1,Onshore Wind,670264
WO-004225-Randalstown,Onshore Wind,669150
Clady Site,Onshore Wind,667735
Earney002,Onshore Wind,666362
Tirmegan wind,Onshore Wind,666331
Herbst Wind 01.,Onshore Wind,666294
Parkgate Road Wind Turbine,Onshore Wind,666165
Drumcross Energy,Onshore Wind,664993
Tivockmoy Farm,Onshore Wind,663073
Gortagammon,Onshore Wind,661505
SP0361,Onshore Wind,660755
Wind NI 1012,Onshore Wind,659045
J. Dobbs,Onshore Wind,657539
Trillick KN185,Onshore Wind,657132
Ulster University Coleraine Campus Wind Turbine Generator T2,Onshore Wind,655654
Quarry Road,Onshore Wind,648723
Beagh Wind,Onshore Wind,647330
R.Gilmore,Onshore Wind,646238
Tamnadoey,Onshore Wind,645888
Backtown Wind Turbine,Onshore Wind,645374
Raveagh,Onshore Wind,635562
Burnquarter,Onshore Wind,634155
RDA Renewables,Onshore Wind,633290
Keshwindltd-gp,Onshore Wind,632586
Ballyatwood,Onshore Wind,631335
Ballynahinch Site,Onshore Wind,628238
Wind NI 1021,Onshore Wind,626064
Tycanny Hill 200.,Onshore Wind,625960
K.McC.,Onshore Wind,624767
Culvacullion Gortin,Onshore Wind,622475
BarronWind,Onshore Wind,621653
Wind NI 1008,Onshore Wind,619550
Gortatean,Onshore Wind,616743
Boggs Wind Turbine,Onshore Wind,615565
Diamond View,Onshore Wind,615091
NWW Makenny - GP,Onshore Wind,614823
1032,Onshore Wind,612479
Carrickduff,Onshore Wind,611768
Goonhilly Downs Wind Farm - A,Onshore Wind,610183
Ballyknockan Road 150,Onshore Wind,609062
IPEH Wind,Onshore Wind,606655
currieenergy,Onshore Wind,606463
Irvinestown Wind,Onshore Wind,606331
JAE Wind,Onshore Wind,604745
Cavanaleewindltd-GP,Onshore Wind,603999
Legananny250,Onshore Wind,601633
Lisnahannaltd-GP,Onshore Wind,601046
Tonnagh Wind,Onshore Wind,600517
16 Ednego Road,Onshore Wind,600032
Conharlil 225,Onshore Wind,598775
Leitrim 11 Turbine,Onshore Wind,597996
Leirum,Onshore Wind,592398
I&DMartin87-GP,Onshore Wind,590816
Townhill,Onshore Wind,590232
Wind NI 1005,Onshore Wind,590161
NONQ No.1,Onshore Wind,588976
Nugent250,Onshore Wind,587880
Wind NI 1018,Onshore Wind,587005
WRE,Onshore Wind,586935
SP0012,Onshore Wind,584127
A&ISLimited,Onshore Wind,583297
SP0904,Onshore Wind,581090
Beech Tree Farm Wind Turbine,Onshore Wind,579766
Steeple Wind,Onshore Wind,578442
Battletown Wind,Onshore Wind,577923
MPG - Trillick 250,Onshore Wind,577628
Macwindgen Whitesides Corner,Onshore Wind,576998
Woodhill 150,Onshore Wind,576024
WindyPowers 225,Onshore Wind,575809
Turcia Hill,Onshore Wind,574045
SP0335,Onshore Wind,572461
Stroan Road 250,Onshore Wind,572329
Shaneragh Wind,Onshore Wind,571107
High Sion 1 - GP,Onshore Wind,568554
Lisard Nordtank,Onshore Wind,567828
StewartstownWind,Onshore Wind,566532
Lisnagreen energy,Onshore Wind,566216
SP1338-GP,Onshore Wind,565049
Brockabuoy,Onshore Wind,564535
