cfd_id,station,unit_name
AR7-MEG-510,Mor Energy GO3 Phase2,Mor Energy GO3 Phase2
AR7-MFD-600,MYNYDD FFORCH DWM,MYNYDD FFORCH DWM
AR7-MIS-700,Milton Farm Solar Farm,Milton Farm Solar Farm
AR7-MMS-700,MORETON MORRELL SOLAR LIMITED,MORETON MORRELL SOLAR LIMITED
AR7-MOL-700,Mopes Lane Solar,Mopes Lane Solar
AR7-MOU-700,Mount Farm Solar,Mount Farm Solar
AR7-MSP-700,Manor Farm Solar Plant,Manor Farm Solar Plant
AR7-MTT-510,MORLAIS Tidal Tech GR1 W1.1,MORLAIS Tidal Tech GR1 W1.1
AR7-MWI-600,Moorshield Wind Farm,Moorshield Wind Farm
AR7-MWS-700,Mid Whitestones Solar,Mid Whitestones Solar
AR7-NHS-700,New Hall Solar Farm,New Hall Solar Farm
AR7-NOV-010,Norfolk Vanguard West CFD Unit C Phase 1,Norfolk Vanguard West CFD Unit C Phase 1
AR7-NOW-700,NORTH WEALD,NORTH WEALD
AR7-NVA-010,Norfolk Vanguard East CFD Unit C Phase 1,Norfolk Vanguard East CFD Unit C Phase 1
AR7-NVB-010,Norfolk Vanguard West CFD Unit B Phase 1,Norfolk Vanguard West CFD Unit B Phase 1
AR7-NVC-010,Norfolk Vanguard East CFD Unit B Phase 1,Norfolk Vanguard East CFD Unit B Phase 1
AR7-NVE-011,Norfolk Vanguard East CFD Unit A Phase 1,Norfolk Vanguard East CFD Unit A Phase 1
AR7-NVE-012,Norfolk Vanguard East CFD Unit A Phase 2,Norfolk Vanguard East CFD Unit A Phase 2
AR7-NVW-011,Norfolk Vanguard West CFD Unit A Phase 1,Norfolk Vanguard West CFD Unit A Phase 1
AR7-NVW-012,Norfolk Vanguard West CFD Unit A Phase 2,Norfolk Vanguard West CFD Unit A Phase 2
AR7-OAS-700,Oaklands Solar Farm,Oaklands Solar Farm
AR7-OHS-700,Old Hall Solar Farm,Old Hall Solar Farm
AR7-OMA-504,Orbital Marine Eday 5,Orbital Marine Eday 5
AR7-OMS-700,Old Malton Solar Farm,Old Malton Solar Farm
AR7-OVS-700,OUSE VALLEY SOLAR FARM CIC,OUSE VALLEY SOLAR FARM CIC
AR7-PAC-700,Parley Court,Parley Court
AR7-PAD-700,Parc Dyffryn,Parc Dyffryn
AR7-PCP-700,Parc Caenewydd PV & BESS,Parc Caenewydd PV & BESS
AR7-PEM-700,Pembrokeshire Solar Park,Pembrokeshire Solar Park
AR7-PEO-700,Pen Onn Farm,Pen Onn Farm
AR7-PEW-610,Pencloe Wind Farm,Pencloe Wind Farm
AR7-PFO-911,Pentland Floating Offshore Wind Farm Phase 1,Pentland Floating Offshore Wind Farm Phase 1
AR7-PFO-912,Pentland Floating Offshore Wind Farm Phase 2,Pentland Floating Offshore Wind Farm Phase 2
AR7-PIL-700,Pilmoor Solar Farm,Pilmoor Solar Farm
AR7-PRA-700,Prentice Farm,Prentice Farm
AR7-PRG-710,Priory Generation,Priory Generation
AR7-PSA-700,PERWINNES SOLAR AND BATTERY STORAGE LIMITED,PERWINNES SOLAR AND BATTERY STORAGE LIMITED
AR7-QUA-700,Quarry,Quarry
AR7-RAA-700,Raspberry,Raspberry
AR7-RBS-700,Red Barn Solar,Red Barn Solar
AR7-RHS-700,Rhigos Solar,Rhigos Solar
AR7-ROH-700,Rowley Hill,Rowley Hill
AR7-ROT-700,Rolleston Farm Park 2,Rolleston Farm Park 2
AR7-RSO-700,Rotherham solar 1 Ltd,Rotherham solar 1 Ltd
AR7-SAI-610,SANQUHAR II COMMUNITY WIND FARM BMU1,SANQUHAR II COMMUNITY WIND FARM BMU1
AR7-SAN-700,Sandbay,Sandbay
AR7-SHE-700,Sheepcote Solar,Sheepcote Solar
AR7-SIC-610,SANQUHAR II COMMUNITY WIND FARM BMU 2,SANQUHAR II COMMUNITY WIND FARM BMU 2
AR7-SIO-700,Six Oaks Renewable Energy Park,Six Oaks Renewable Energy Park
AR7-SLS-700,South Lynch Solar Limited,South Lynch Solar Limited
AR7-SOR-700,Sunny Oaks Renewable Energy Park,Sunny Oaks Renewable Energy Park
AR7-SPW-700,Spencers Wood,Spencers Wood
AR7-STA-700,Staveley Solar Farm,Staveley Solar Farm
AR7-STB-700,Stowmarket,Stowmarket
AR7-STH-700,Straws Hadley Solar Farm,Straws Hadley Solar Farm
AR7-STR-700,Stowey Road,Stowey Road
AR7-SUN-700,Sunderlandwick Solar PV Farm,Sunderlandwick Solar PV Farm
AR7-SWA-604,Swinlees Wind Farm,Swinlees Wind Farm
AR7-SWI-600,Sallachy Wind farm,Sallachy Wind farm
AR7-THB-700,Three Bridges,Three Bridges
AR7-THE-610,TWYN HYWEL ENERGY PARK LIMITED,TWYN HYWEL ENERGY PARK LIMITED
AR7-TID-700,Tiddiecross,Tiddiecross
AR7-TOE-600,Tormywheel Extension,Tormywheel Extension
AR7-TOH-700,Toot Hill Farm,Toot Hill Farm
AR7-TON-700,Tonbridge,Tonbridge
AR7-TOR-700,Three Oaks Renewable Energy Park,Three Oaks Renewable Energy Park
AR7-TOS-700,Totmonslow Solar,Totmonslow Solar
AR7-TRI-700,Trinlaymire,Trinlaymire
AR7-TSO-700,Talgren Solar Ltd,Talgren Solar Ltd
AR7-TWS-700,Twyford Solar Farm,Twyford Solar Farm
AR7-UAR-700,UKF086 Attleborough Road,UKF086 Attleborough Road
AR7-UAT-700,UKZ139 Apple Tree,UKZ139 Apple Tree
AR7-UGH-700,UKZ047 Glebe (Horsford),UKZ047 Glebe (Horsford)
AR7-UKM-700,UKZ015 Mallows,UKZ015 Mallows
AR7-UKT-700,UKF092 Tophams,UKF092 Tophams
AR7-UMA-704,UKZ020 Maleys,UKZ020 Maleys
AR7-UOW-600,Upper Ogmore Wind Farm,Upper Ogmore Wind Farm
AR7-USR-700,UKZ024 Station Road,UKZ024 Station Road
AR7-WAS-700,Washdyke Solar Farm,Washdyke Solar Farm
AR7-WBS-710,West Burton Solar Project - AR7 - Site 3,West Burton Solar Project - AR7 - Site 3
AR7-WBU-710,West Burton Solar Project - AR7 - Site 2,West Burton Solar Project - AR7 - Site 2
AR7-WBW-610,Whitelaw Brae Wind Farm,Whitelaw Brae Wind Farm
AR7-WEA-700,Westfield Solar,Westfield Solar
AR7-WEB-710,West Burton Solar Project - AR7 - Site 1,West Burton Solar Project - AR7 - Site 1
AR7-WEL-700,Wellbank,Wellbank
AR7-WGS-700,Wormald Green Solar Farm,Wormald Green Solar Farm
AR7-WIH-700,Wickham Hall,Wickham Hall
AR7-WOO-700,Woodlands Farm,Woodlands Farm
AR7-WRS-700,Walkford Road Solar New Milton,Walkford Road Solar New Milton
AR7-WWS-700,WALLACE WOOD SOLAR FARM LIMITED,WALLACE WOOD SOLAR FARM LIMITED
AR7-WYE-700,Wyndham Estate,Wyndham Estate
AR7-WYM-710,Wymondley,Wymondley
AR7-YLL-510,Ynni'r Lleuad 3,Ynni'r Lleuad 3
CAA-EAS-166,EA 1,EA 1 Phase 1
CAA-EAS-167,EA 1,EA 1 Phase 2
CAA-EAS-168,EA 1,EA 1 Phase 3
INV-BEA-001,Beatrice,Beatrice Offshore Wind Farm Limited (Phase 1)
INV-BEA-002,Beatrice,Beatrice Offshore Wind Farm Limited (Phase 2)
INV-BUR-001,Burbo Bank Ext,Burbo Bank Extension Offshore Wind Farm
INV-DRX-001,Drax,Drax 3rd conversion unit (unit 1)
INV-DUD-001,Dudgeon,Dudgeon Phase 1
INV-DUD-002,Dudgeon,Dudgeon Phase 2
INV-DUD-003,Dudgeon,Dudgeon Phase 3
INV-HOR-001,Hornsea 1,Hornsea Offshore Wind Farm Phase 1
INV-HOR-002,Hornsea 1,Hornsea Offshore Wind Farm Phase 2
INV-HOR-003,Hornsea 1,Hornsea Offshore Wind Farm Phase 3
INV-LYN-001,Lynemouth,Lynemouth Power Station
INV-TEE-001,Teesside,Teesside Renewable Energy Project
INV-WAL-001,Walney Ext,Walney Extension Offshore Wind Farm Phase 1
INV-WAL-002,Walney Ext,Walney Extension Offshore Wind Farm Phase 2
NUC-HPC-198,Hinkley C,Hinkley Point C
