cfd_id,station,unit_name
AR5-EGR-710,Enso,Enso Green Holdings A Limited
AR5-EHW-610,Enoch Hill,Enoch Hill Windfarm
AR5-EMB-500,EMEC,EMEC Magallanes Berth 1
AR5-ENG-710,Enso Green,Enso Green Holdings I Limited
AR5-EUG-600,Energyfarm Garbet,ENERGYFARM UK GARBET LLP
AR5-EUH-610,Energyfarm Hare Craig,Energyfarm UK Hare Craig LLP
AR5-EUM-610,Energyfarm Margree,ENERGYFARM UK MARGREE LLP
AR5-FEW-610,Fell,Fell Wind Farm
AR5-FTW-600,Foel,Foel Trawsnant Wind Farm
AR5-GAS-700,Gammaton,Gammaton Solar Farm
AR5-GMS-700,Galton,Galton Manor Solar Farm
AR5-GOS-700,Gonerby,Gonerby Solar
AR5-GRG-700,Grim12,Grim12 Grimsby
AR5-GRW-610,Greenburn,Greenburn Wind Park
AR5-HAR-700,Harbury,Harbury
AR5-HEW-610,Heathland,Heathland Wind Farm
AR5-HIN-700,Hinckley Solar,Hinckley
AR5-HUS-700,Hulam,Hulam Solar Farm
AR5-KEK-700,Kemb04,Kemb04 Kemble
AR5-KIL-700,Kings,Kings Lynn
AR5-LAD-700,Land,Land at Dawley Road (New Works)
AR5-LAG-700,Land,Land at Guston Court Farm (Chalkpit)
AR5-LAI-610,LAIRG,LAIRG II LLP
AR5-LAN-700,Langford,Langford
AR5-LAS-700,Lawns,Lawns Solar Farm
AR5-LHW-600,Lurg,Lurg Hill Wind Farm
AR5-LIW-610,Limekiln,Limekiln Wind Farm
AR5-LOH-700,Low Horton,Low Horton
AR5-LOS-700,Locquiers,Locquiers Solar Farm
AR5-MAR-510,MeyGen,MeyGen AR54
AR5-MCG-710,Melksham,Melksham Calne Green
AR5-MEA-510,MeyGen,MeyGen AR52
AR5-MEB-510,MeyGen,MeyGen AR53
AR5-MEY-510,MeyGen,MeyGen AR51
AR5-MGP-800,Manhay,Manhay Geothermal Power Plant
AR5-MIN-710,Minety,Minety
AR5-MLS-700,Moreton,Moreton Lane Solar Farm
AR5-MME-500,Morlais,Morlais Mor Energy Zone GO3
AR5-MMG-500,Morlais,Morlais Magallanes GR3 Extension
AR5-MOS-700,Moorside,Moorside Solar Farm
AR5-MVI-510,Morlais,Morlais Verdant Isles BL3
AR5-NSN-700,NextPower SPV9,NextPower SPV 9 Ltd
AR5-OME-504,Orbital,Orbital Marine Eday 4
AR5-ORM-504,Orbital,Orbital Marine Eday 3
AR5-PER-700,PERRINPIT,PERRINPIT ROAD SOLAR LIMITED
AR5-PES-700,Peradon,Peradon Solar Farm
AR5-PGP-800,Penhallow,Penhallow Geothermal Power Plant
AR5-PLI-600,Pearie,Pearie Law II Wind Farm Ltd
AR5-PRI-700,Primrose,Primrose
AR5-PRS-700,Preston,Preston Farm Solar Park
AR5-PSF-700,Purton,Purton solar farm
AR5-RWS-700,Rampisham,Rampisham Woods Solar
AR5-SAB-700,Sandon,Sandon Brook
AR5-SAW-700,Saffron,Saffron Walden
AR5-SHA-700,Shaftesbury,Shaftesbury
AR5-SLW-610,Slickly,Slickly Wind Farm
AR5-SOF-710,Soay,Soay Solar Farm
AR5-SSW-610,Strathy,Strathy South Wind Farm
AR5-STO-700,Stoneshollow,Stoneshollow
AR5-SWW-610,Strathy,Strathy Wood Windfarm
AR5-UDG-800,United,United Downs Geothermal Power Plant
AR5-VWA-910,Viking,Viking Wind Farm AR5
AR5-WES-700,Wood,Wood End Solar PV
AR5-WHW-600,Watson,Watson Head Wind Farm Limited
AR5-WIS-700,Winkburn,Winkburn Solar Farm
AR5-WOS-700,WOODINGTON,WOODINGTON SOLAR LIMITED
AR5-YNL-510,Ynnir,Ynnir Lleuad
AR6-ADV-700,Adur Valley,Adur Valley
AR6-AFS-700,Aston,Aston Flamville Solar PV
AR6-AIT-700,Aithrie,Aithrie
AR6-ALW-600,Alaska,Alaska Wind Farm
AR6-AWI-600,Abergorki,Abergorki Wind Farm
AR6-BAR-700,Barnfields,Barnfields
AR6-BEA-700,Benthead,Benthead Solar Farm
AR6-BED-700,Bedworth,Bedworth Solar
AR6-BEN-610,Benbrack,Benbrack Wind Farm - AR6 - A3
AR6-BER-700,Berkeley,Berkeley
AR6-BIL-700,Billsbrae,Billsbrae
AR6-BRG-710,Bramford,Bramford Green Limited
AR6-BRS-710,Bramley,Bramley Solar
AR6-BRW-600,BROWNHILL,BROWNHILL WIND FARM
AR6-BRY-700,Brynryhd,Brynryhd Solar Farm
AR6-BSO-700,Bilbo,Bilbo Solar
AR6-BTS-700,Burton Top,Burton Top Farm Station Lane
AR6-BWA-610,Benbrack,Benbrack Wind Farm - AR6 - A2
AR6-CAL-700,Callies,Callies
AR6-CAS-700,Carlton,Carlton Solar Farm
AR6-CAW-600,Camilty,Camilty Wind Farm
AR6-CBT-700,CBT24,CBT24
AR6-CCS-700,Copse Close,Copse Close Solar Farm
AR6-CHA-700,Charleston,Charleston
AR6-CHE-700,Chestnut,Chestnut Solar Farm
AR6-CHS-700,Crays,Crays Hall Solar Farm
AR6-CHW-610,Chleansaid,Chleansaid Wind Farm
AR6-CLI-600,Clashindarroch,Clashindarroch II Wind Farm
AR6-CLS-710,Clump Farm,CLUMP FARM SOLAR LIMITED
AR6-CLW-610,Cloiche,Cloiche Wind Farm
AR6-COL-700,Copse Lodge,Copse Lodge
AR6-COS-700,Coldharbour,Coldharbour Solar Farm
AR6-CRI-610,Crystal Rig,Crystal Rig IV Ltd
AR6-CSO-700,Costock,Costock Solar Farm
AR6-CTW-610,Corriegarth,Corriegarth 2 Wind Farm Limited
AR6-CUT-700,Cutlers,Cutlers
AR6-CWE-600,Carno,Carno Wind Farm Extension Phase III
AR6-DSO-700,Duxhurst,Duxhurst Solar Farm
AR6-DUS-700,Ducklington,Ducklington Solar
AR6-DWS-700,Derril,Derril Water Solar Farm
AR6-EAA-011,EA 2,East Anglia Two Phase 1
AR6-EAA-012,EA 2,East Anglia Two Phase 2
AR6-EAA-013,EA 2,East Anglia Two Phase 3
AR6-EAT-010,EA 3B,EA3B
AR6-EDW-600,Easter,Easter Drumclair wind farm
AR6-EXE-700,Exter,Exeter
AR6-FAM-700,Fambridge,Fambridge
AR6-FGS-700,Forest Gate,Forest Gate Solar
AR6-FRA-700,Fraddon,Fraddon
AR6-GLS-700,Glenniston,Glenniston Solar Farm
AR6-GOW-600,Golticlay,Golticlay Wind Farm
AR6-GSO-700,Gaywood,Gaywood Solar Farm
AR6-GSS-700,Grey St,Grey Street Solar Ltd (Fiskerton 3)
AR6-GUR-710,Gunthorpe,Gunthorpe Road
AR6-GVO-910,GreenVolt,Green Volt Offshore Windfarm (GV01)
AR6-HEE-700,Park Hill,Park Hill Energy Extension
AR6-HES-700,Henley,Henley Solar Farm
AR6-HHS-700,Higher Hawkerland,Higher Hawkerland solar farm
AR6-HLS-700,Horsey,Horsey Level Solar Park
AR6-HOC-700,Hockliffe,Hockliffe
AR6-HOP-010,Hornsea 3,Hornsea Project Three Offshore Wind Farm AR6 C
AR6-HOS-700,Horton,Horton Solar Farm
AR6-HPF-010,Hornsea 4,Hornsea Project Four Offshore Wind Farm
AR6-HPR-010,Hornsea 3,Hornsea Project Three Offshore Wind Farm AR6 B
AR6-HPS-700,Hawthorn,Hawthorn Pit Solar Farm
AR6-HPT-010,Hornsea 3,Hornsea Project Three Offshore Wind Farm AR6 A
AR6-HSS-700,HSS24,HSS24
AR6-HWS-700,HW Solar,HW SOLAR FARM LIMITED
AR6-HWZ-610,Heathland,Heathland Wind Farm - Zone 2
AR6-ICA-010,Inch Cape,Inch Cape A
AR6-ICB-010,Inch Cape,Inch Cape B
AR6-KES-700,Kemberton,Kemberton Solar Farm
AR6-KFS-700,Kiln Fields,Kiln Fields Solar Park
